# _root_ 9.91 % , standard conventional fixedrate mortgages ; 7.875 % , 2 % rate capped one-year adjustable rate mortgages .
#goldHeads=2,0,2,7,7,7,2,2,10,2,10,13,19,19,14,19,19,19,10,2,
#predictedHeads=2,0,2,7,7,7,2,2,10,2,10,13,19,19,14,19,19,19,10,2,
(2,1),(2,13),0.0267973 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0130293 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0920484 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0757258 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.010957 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.03239 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0168363 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0175691 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.118648 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.214462 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0345909 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.026423 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0345909 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.061537 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.029952 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.118648 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0293914 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0570454 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0565678 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0302338 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0194628 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.00743976 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00951372 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00743976 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0153887 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0258064 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0302338 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0196333 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0549928 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0277631 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0220844 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00790754 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00311647 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00790754 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0162252 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0224264 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0277631 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0269594 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0264883 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.02344 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00315429 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.000987481 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00315429 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.011472 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0211521 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0264883 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0187308 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.101345 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0529032 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00601225 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0529032 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0157522 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0123733 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0787692 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0410028 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.224255 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0327837 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.224255 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.156262 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00612121 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0295704 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.303863 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0148504 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.00724106 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.023082 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0302655 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0367872 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0119312 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0345909 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.061537 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.029952 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.118648 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0293914 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.023082 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0302655 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0367872 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0119312 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0229782 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0317744 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0261405 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.00180286 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0275728 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.0410028 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.095642 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.000250864 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00068563 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0861376 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0736532 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0187336 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0558353 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0172336 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0861376 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.00731973 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0891381 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0891359 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0381882 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0158141 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0469433 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0529348 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0475916 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0381882 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0142131 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0440106 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0177985 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0243376 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0277884 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0480256 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0284192 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0177985 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0107537 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0177905 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0242445 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0277811 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.05377 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.028412 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0177905 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.00379215 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0218251 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.000510757 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00743378 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.000715344 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0811184 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0424442 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.00774886 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.115986 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.00837623 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0170286 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.196152 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0476122 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0170278 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0545653 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0349053 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0353828 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0193135 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.00552287 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0554922 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0401284 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.0424442 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0965992 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0240055 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00429022 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0901194 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0783972 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0204794 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0108991 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0825158 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0209897 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0883301 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0370128 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0138091 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0479917 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0742469 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0743227 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0446408 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0214268 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0132597 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.039908 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0242084 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0178773 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0147534 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.022141 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0296686 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.000935429 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0222919 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0237647 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00149104 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0184009 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0238679 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00900544 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0486235 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0838884 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.000358657 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0145983 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0519491 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.096749 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0241607 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0257223 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0800289 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0220941 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.021001 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0175821 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0137966 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0479889 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0296394 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0132336 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0398926 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0104261 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0446224 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00900544 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0883373 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0234636 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0509905 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0569836 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0653528 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0309258 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0315098 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.111711 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0191355 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0305625 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.111711 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0731513 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0665318 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0119195 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0259755 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0900805 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0689039 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0769744 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.098182 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0329383 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0219194 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0317506 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0216984 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.023159 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0317506 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0072375 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0212715 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0146459 # DEPENDENCYPART_SIBL
